id;date_debut;date_fin;conforme
1;2026-04-07T17:15:48;2026-04-07T06:37:24;false
2;2026-04-07T03:03:21;2026-04-06T22:22:28;false
3;2026-04-07T04:41:13;2026-04-06T22:55:17;true
4;2026-04-07T13:22:57;2026-04-07T11:24:19;false
5;2026-04-06T22:05:46;2026-04-07T17:28:22;false
6;2026-04-07T04:24:12;2026-04-07T06:26:20;true
7;2026-04-07T06:06:50;2026-04-07T13:31:36;true
8;2026-04-07T10:27:57;2026-04-07T15:47:13;true
9;2026-04-07T03:32:45;2026-04-06T20:07:54;false
10;2026-04-07T06:34:24;2026-04-07T03:15:29;true
